epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.0023299217224122,59.75,2.1018108980996266,25.0,2.102671112333025,25.0
2,0.6317960399389267,76.875,0.843190780707768,65.5,0.694059431552887,70.0
3,0.48671707600355146,83.125,0.9016534345490592,73.0,0.524715964283262,81.0
4,0.4395336827635765,84.625,0.810405603476933,70.0,0.6651302192892347,71.0
5,0.4123158748447895,85.875,0.8731250081743512,68.0,0.575015242610659,78.0
6,0.35973929256200793,87.3125,0.5967258172375816,78.0,0.4335210919380188,83.5
7,0.31029161393642424,88.5,0.8337204200880868,76.0,0.5736466433320727,80.0
8,0.25233968563377857,92.125,0.7886812005724225,78.0,0.39879971210445675,87.0
9,0.23478479847311973,91.0625,0.7426495211465018,78.0,0.4841286337801388,86.5
10,0.2046975529938936,93.0,0.7264764521803174,78.5,0.45616006212575094,82.5
