epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.0216673600673676,60.8125,2.8157899039132253,25.0,2.8789449759892056,25.0
2,0.5810036832094192,79.6875,0.8415558721338,72.0,0.508077085018158,82.0
3,0.4998121473193169,82.8125,0.6815850830503872,75.0,0.4746924766472408,81.5
4,0.4491939823329449,84.8125,0.6646947520119804,76.5,0.4163297031606947,83.0
5,0.37987837702035904,86.5,1.3537060192653112,68.0,0.6280767023563385,80.0
6,0.40250121250748633,85.8125,0.7654058081763131,78.5,0.5400014051369258,82.5
7,0.3067953343689442,89.6875,0.8781111325536456,74.5,0.720621930701392,81.5
8,0.25727111332118513,91.0625,0.829400760786874,77.5,0.49087015220097135,82.5
9,0.2105524814873934,92.75,0.9291352203914097,75.5,0.5042354608220714,81.0
10,0.19808869685977698,93.625,1.0031722784042358,76.0,0.4607069604431412,85.0
