epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.8000529551506043,67.125,0.716404378414154,76.0,0.6594752243586949,81.5
2,0.39729869574308396,86.1875,0.5519405858857291,78.0,0.43699980633599417,84.5
3,0.2843200119584799,90.1875,0.7624383270740509,74.5,0.5254684175763812,82.0
4,0.265791337788105,90.875,0.5665490797587803,80.0,0.4936798853533609,81.5
5,0.1760426004230976,94.625,0.6431623441832406,81.0,0.40873848008258,85.5
6,0.16694658022373915,95.375,0.6080019729478019,82.0,0.531315837587629,85.0
7,0.1513315801694989,95.0,0.51056897853102,80.5,0.38273922886167255,86.5
8,0.12457479607313872,96.125,0.7611847988196782,80.5,0.4604477935603687,86.0
9,0.1360116619616747,96.0625,0.5885677678244454,82.0,0.41782898136547636,86.0
10,0.09726047618314623,96.625,0.632597063268934,81.5,0.42350762497101513,88.0
