epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.7059354090690613,73.375,0.7400377988815308,76.5,0.5575489146368844,79.5
2,0.35492601290345194,87.25,0.7409315918173108,74.5,0.551739147731236,80.5
3,0.26207203447818755,91.375,0.7350200116634369,72.0,0.5929811426571437,77.5
4,0.20130835652351378,93.75,0.9584422877856663,68.0,0.697884487254279,76.5
5,0.2585914272814989,91.75,0.5763131039483207,81.5,0.3950648009777069,86.0
6,0.14083795484155417,95.5,0.5862952939101628,84.0,0.401351945740836,90.0
7,0.10141401506960392,97.0625,0.7546645147459847,83.0,0.3789730836371226,88.5
8,0.13195871226489544,96.125,0.6507044349397931,81.0,0.41733436925070627,87.5
9,0.12558171339333057,96.375,0.8896903991699219,76.5,0.8174107032162803,79.0
10,0.14110921561717987,95.9375,0.7334529502051217,82.0,0.46935461461544037,88.0
