epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,0.7270323556661605,71.625,0.5728535162551063,80.5,0.5361310924802508,82.0
2,0.2989682251214981,89.125,0.6589819831507546,79.0,0.3949768968990871,84.5
3,0.2017097694426775,92.8125,0.5795789105551583,81.0,0.576528936624527,78.0
4,0.11697414889931679,96.625,0.6731113237994057,80.0,0.6685705014637539,81.0
5,0.12271362408995629,95.625,0.5908908184085574,81.0,0.33280289811747416,89.5
6,0.12489336859434844,95.5,0.8178717579160418,80.0,0.4735701314306685,85.5
7,0.08947953656315803,97.0,0.8836144719805036,73.5,0.6802350793566022,79.0
8,0.03422854717820883,99.1875,0.6442406922578812,81.0,0.29253186099231243,88.5
9,0.017022462734021245,99.6875,0.6264482395989555,83.5,0.32485090834753855,90.0
10,0.011354515999555588,99.9375,0.6181157231330872,84.0,0.28099447620167795,89.0
