epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3932669901847838,24.5,1.3892635202407837,23.0,1.3835854721069336,25.5
2,1.3861269807815553,26.375,1.3837611389160156,28.5,1.388206992149353,23.0
3,1.3796874713897704,30.125,1.3781957817077637,31.0,1.3828595495223999,30.0
4,1.373811764717102,32.0625,1.3739989852905274,35.0,1.377579231262207,32.5
5,1.3689281010627747,36.4375,1.3674743032455445,38.0,1.3718856287002563,34.5
6,1.3614075422286986,38.5,1.3579426193237305,39.0,1.3628673028945923,37.0
7,1.3500898098945617,43.8125,1.3461376857757568,44.5,1.3519095516204833,40.0
8,1.3374491596221925,42.375,1.3260499572753905,44.0,1.3313942289352416,42.0
9,1.308853063583374,48.4375,1.292208480834961,45.5,1.2995730781555175,47.0
10,1.2688414144515991,47.4375,1.2352645206451416,48.0,1.2428859710693358,44.0
11,1.2108484196662903,50.1875,1.1843607473373412,48.0,1.190173807144165,44.5
12,1.1734489107131958,50.4375,1.15365487575531,49.5,1.1597328567504883,46.0
13,1.1461366415023804,49.125,1.1349233818054199,47.0,1.139959192276001,46.5
14,1.1285757851600646,49.1875,1.12012122631073,49.5,1.1273021602630615,52.0
15,1.1208840227127075,49.5625,1.1079377794265748,52.5,1.1132672786712647,52.5
16,1.1015871024131776,52.375,1.099460482597351,52.5,1.1062529754638672,54.5
17,1.0982464408874513,51.375,1.0888714027404784,58.0,1.0962410116195678,55.5
18,1.0738475286960603,52.375,1.0782748651504517,57.0,1.0879399871826172,54.5
19,1.065180513858795,57.6875,1.0707000637054442,58.0,1.0819853305816651,54.0
20,1.05315016746521,55.3125,1.0590058040618897,59.0,1.0713619136810302,57.0
