epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.355482473373413,29.25,1.3785641023090907,24.5,1.3801552227565221,26.5
2,1.2503113770484924,42.625,1.408729910850525,28.0,1.4081289087023054,27.5
3,1.1357043087482452,49.125,1.3985120568956648,30.5,1.4130082300731115,29.5
4,0.9626822423934936,61.375,1.724736831017903,34.5,1.8749576594148363,25.5
5,0.785472903251648,69.9375,1.8382854546819414,33.0,1.9004061732973372,32.5
6,0.5373826801776886,80.375,1.885204357760293,41.0,2.048125607626779,34.0
7,0.3761180973052978,87.5,2.2535261937550137,37.5,2.101699335234506,38.0
8,0.2981474855542183,89.4375,2.3245235170636858,36.5,2.2378977026258196,38.0
9,0.224841401129961,92.3125,2.447569046701704,38.0,2.518627796854292,39.5
10,0.15924671720713376,94.25,2.4765526907784596,40.0,2.3933863128934587,41.5
