epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.360030586719513,31.8125,1.3371341569083077,29.5,1.367417301450457,28.5
2,1.2418525838851928,41.875,1.51199894292014,25.0,1.56033969776971,25.0
3,1.1112213027477265,51.375,1.2637857794761658,37.0,1.346668004989624,36.0
4,0.8986467623710632,63.625,1.5122943350246973,38.0,1.5472450043473924,34.5
5,0.6967989826202392,73.0625,2.1775114280836925,35.5,2.3093410741005624,32.5
6,0.5400730383396148,78.625,1.4255579710006714,46.0,1.3454247968537467,39.5
7,0.42504296511411666,84.1875,8.064525525665626,25.5,8.135849904530915,25.0
8,0.3509711888432503,86.75,2.5255559512547086,33.5,2.716882961136954,35.5
9,0.2656588016450405,90.6875,1.6197654690061296,48.5,1.5304972273962838,52.0
10,0.2071554556488991,92.625,2.2241843172482083,49.0,2.1500435258660997,50.0
