epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3413892912864684,34.0,1.399633458682469,27.0,1.4068845340183802,23.5
2,1.2187784838676452,44.8125,1.572966115815299,25.0,1.5838721905435835,25.0
3,1.0910159790515899,54.25,1.8611488086836678,25.0,1.9099494559424264,26.0
4,0.9325803494453431,62.3125,1.800552751336779,28.5,1.843682382787977,30.5
5,0.7306012344360352,72.25,2.09375507916723,32.0,2.3042892600808824,28.5
6,0.5313442742824555,80.5,2.0859440650258745,31.5,2.2418056087834493,36.0
7,0.37697905957698824,88.25,1.8781039033617293,34.0,2.120983830520085,31.5
8,0.24593885734677315,92.5625,1.784076384135655,40.0,2.0428751707077026,36.5
9,0.19583325058221818,94.9375,2.105206387383597,42.0,2.1475194352013722,41.5
10,0.1254890864342451,96.6875,2.019690956388201,40.0,2.2024110555648804,40.0
