epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.1479940485954285,48.75,0.8883792970861707,64.5,0.7794088550976345,67.5
2,0.6737337702512741,74.9375,0.7462947538920811,73.5,0.5892282128334045,80.5
3,0.5030997800827026,81.8125,0.8656780208860125,67.5,0.6637428392257009,71.5
4,0.35227143853902815,88.1875,0.6971286407538823,75.5,0.538810205246721,82.5
5,0.2597714626789093,91.4375,1.0205414508070265,67.0,0.9515515778745923,73.5
6,0.201597418487072,92.75,1.0284008639199393,68.0,0.9310033874852317,75.5
7,0.13068119391798974,95.4375,0.7579427723373685,75.5,0.4926138073205948,82.5
8,0.05837804846465588,98.5,0.818785446030753,72.5,0.6414448235716138,80.0
9,0.02834037964232266,99.375,0.8373097117458072,75.5,0.6516257620283535,81.5
10,0.015986542459577324,99.8125,1.0336806859288896,72.5,0.7644294353002417,78.5
