epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,2.3005997234582902,55.3125,0.6656421295234135,75.5,0.6003463055406298,80.5
2,0.5381617492437363,81.25,0.6012974466596331,77.5,0.5166620399270739,81.0
3,0.4095532003045082,85.9375,0.5537551237004144,77.5,0.4510533554213388,88.0
4,0.34384651586413384,87.6875,0.6018180208546775,78.0,0.505772054195404,81.0
5,0.29035177156329156,89.25,0.5282108655997685,78.0,0.4848689649786268,83.5
6,0.23599220663309098,91.625,0.5747868993452617,81.0,0.47962819252695355,82.5
7,0.1852679306268692,93.625,0.7170865791184562,78.0,0.5360176185412067,83.5
8,0.13030707433819771,96.375,0.7047665842941829,77.0,0.65787871075528,81.5
9,0.11683753352612257,95.875,1.1344573582921709,71.5,0.8307500087789127,79.5
10,0.08001932650804519,98.0625,0.7663972462926593,78.0,0.5045118789587703,86.0
