epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3825232005119323,28.75,1.372792558670044,29.5,1.374701099395752,36.5
2,1.3582377648353576,35.0,1.337853798866272,37.5,1.3575353860855102,37.5
3,1.3208476567268372,38.0625,1.3314975118637085,35.5,1.3490644598007202,38.5
4,1.2788198375701905,41.125,1.3071722316741943,36.5,1.2990655994415283,42.5
5,1.254279794692993,43.875,1.32154230594635,36.5,1.3041794681549073,32.5
6,1.2207420587539672,43.8125,1.3306015396118165,35.0,1.2954859256744384,40.0
7,1.193220546245575,46.0625,1.3053991508483886,37.5,1.2610830068588257,43.5
8,1.1652073311805724,49.0,1.323073253631592,35.5,1.2443533611297608,44.0
9,1.134905879497528,50.3125,1.3205392932891846,37.0,1.2472286796569825,41.5
10,1.1027534413337707,53.5,1.3371301984786987,33.0,1.274197940826416,42.5
