epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3705180048942567,31.6875,1.3159290599822997,43.0,1.339846568107605,40.0
2,1.2728341388702393,43.625,1.2848558187484742,40.0,1.3122268962860106,36.5
3,1.182868002653122,48.3125,1.2546096849441528,41.0,1.316495361328125,41.0
4,1.031123183965683,57.75,1.3248747444152833,42.0,1.2910002231597901,47.5
5,0.923220978975296,62.6875,1.3189444351196289,44.0,1.3850714874267578,46.0
6,0.7162871062755585,73.4375,1.393516583442688,49.5,1.579024600982666,44.5
7,0.5889526236057282,77.6875,1.464671812057495,47.0,1.5337399768829345,44.5
8,0.3593111220002174,88.6875,1.7607736635208129,46.0,1.7251840782165528,48.5
9,0.1868160280585289,94.5625,1.845891799926758,52.0,2.0096595764160154,49.0
10,0.13832340627908707,95.8125,2.0622092580795286,47.0,2.2676243019104003,47.0
