epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3753982257843018,32.375,1.3556421375274659,37.0,1.3522497940063476,37.5
2,1.3028169083595276,44.625,1.3126246595382691,36.5,1.315619945526123,37.5
3,1.1967819428443909,50.5,1.2734721946716308,34.0,1.2862939310073853,44.0
4,1.0339817631244659,59.0,1.2985444116592406,38.0,1.3774421501159668,38.0
5,0.8142459619045258,69.125,1.5050808954238892,38.5,1.6007483768463135,39.0
6,0.6205346071720124,77.75,1.7178532791137695,40.0,1.7943737411499023,36.0
7,0.4755391198396683,83.5625,1.8251089000701903,37.0,1.9063313484191895,38.5
8,0.2485819737613201,92.1875,1.9003125286102296,42.0,1.980176887512207,42.0
9,0.10934210278093814,96.5625,2.1055591106414795,42.0,2.239401741027832,36.0
10,0.06624239794909954,98.5,2.277726898193359,39.5,2.3660103607177736,40.0
