epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.385728943347931,26.3125,1.3756966829299926,29.0,1.3773322772979737,33.5
2,1.3640500259399415,34.3125,1.3524318933486938,38.5,1.3600825834274293,33.0
3,1.3252497386932374,39.4375,1.315583257675171,36.5,1.331760573387146,38.0
4,1.2644145894050598,40.75,1.2534386396408081,38.5,1.2748266887664794,38.0
5,1.1713129663467408,46.6875,1.2042915630340576,42.5,1.2114334726333618,42.0
6,1.0960863709449769,51.375,1.136263551712036,44.5,1.1485941648483275,46.0
7,1.023074553012848,54.0,1.1193506741523742,44.5,1.1187884330749511,49.0
8,0.9604843139648438,57.0625,1.1410993361473083,44.5,1.0772677373886108,50.5
9,0.9407949650287628,58.1875,1.1419706702232362,46.0,1.0812749576568603,51.5
10,0.8892242646217347,59.8125,1.1456897807121278,48.0,1.094611873626709,52.5
11,0.8439899837970734,62.3125,1.133160355091095,46.0,1.101831579208374,51.0
12,0.7780618870258331,67.3125,1.1290052366256713,51.0,1.0860529232025147,53.0
13,0.7580963337421417,67.75,1.194082622528076,47.5,1.1417111301422118,53.5
14,0.7443867701292038,67.75,1.1773305225372315,47.0,1.0987682819366456,52.5
15,0.7112268233299255,70.5625,1.2143542957305908,44.5,1.1061910152435304,54.0
16,0.6928691011667252,71.5625,1.2018357849121093,43.5,1.0825342798233033,53.5
17,0.6918072926998139,71.5625,1.2132319712638855,46.0,1.1470913362503052,53.0
18,0.6455923247337342,73.3125,1.2034960222244262,51.0,1.1599842453002929,51.5
19,0.6684879118204117,71.75,1.1934411787986756,50.5,1.123208351135254,54.0
20,0.6261864584684372,73.3125,1.2527874851226806,44.5,1.1745872926712035,53.0
