epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.375199270248413,30.375,1.3427718734741212,36.0,1.340767364501953,35.5
2,1.2930373239517212,39.25,1.2864011073112487,41.5,1.3080207633972167,38.5
3,1.1608306431770326,48.1875,1.1821507024765014,42.0,1.3011030292510986,42.5
4,1.0159620344638824,57.1875,1.2202892088890076,45.0,1.2780263757705688,43.0
5,0.8593963372707367,65.0,1.2291304683685302,45.5,1.2741480255126953,44.0
6,0.6937383329868316,73.5,1.2902841806411742,49.0,1.3275844144821167,48.0
7,0.5977162545919419,77.1875,1.4697289896011352,44.5,1.299002685546875,49.5
8,0.32600329250097276,89.625,1.5304981470108032,52.0,1.3569270801544189,55.0
9,0.1635351425409317,95.6875,1.8674544715881347,49.5,1.536822509765625,57.5
10,0.13406427815556526,95.8125,1.9541201782226563,50.5,1.8914048099517822,51.0
