epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3809083300828933,29.1875,1.3542909359931945,36.0,1.3660860276222229,32.5
2,1.3611876899003983,32.125,1.3506162786483764,36.0,1.3727974009513855,29.5
3,1.352994989156723,33.625,1.3528933691978455,32.5,1.3277581596374513,36.0
4,1.3421749556064606,35.5625,1.3261492705345155,34.5,1.330595086812973,36.5
5,1.3175966040790081,37.3125,1.364141778945923,34.5,1.3584876620769502,38.0
6,1.3073622791469097,37.25,1.3350374829769134,37.0,1.3426522624492645,35.0
7,1.2728476978838443,40.1875,1.3521947348117829,32.5,1.3746287953853606,33.5
8,1.2336062821745872,44.625,1.3399259102344514,33.0,1.3524586546421051,33.5
9,1.2064321325719356,45.6875,1.3642398738861083,33.5,1.3568062937259675,39.5
10,1.1478449218720197,47.8125,1.32079528093338,38.5,1.3956800627708434,37.0
11,1.0779945562034845,55.125,1.410673403739929,40.0,1.4397701048851013,40.5
12,1.0167297607287764,57.4375,1.3825850427150725,39.0,1.4730223715305328,38.0
13,0.9029193591326475,63.3125,1.5975141924619676,38.0,1.6856180018186568,37.0
14,0.8186387687548995,67.0625,1.6491388463974,38.5,1.5588920640945434,41.5
15,0.7038220443576574,72.625,1.7655916041135788,39.5,1.742289018034935,41.0
