epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.4093910479545593,30.125,1.3682055643626623,32.0,1.408312473978315,28.0
2,1.3620105576515198,34.0,1.3401109320776803,32.5,1.3625678164618356,36.5
3,1.3646117734909058,31.875,1.3438478027071272,34.0,1.3481049197060722,35.5
4,1.3494387459754944,34.0,1.3143938609531947,39.5,1.3508876391819544,32.5
5,1.3490687346458434,33.625,1.3197171517780848,38.0,1.3467698778424944,36.5
6,1.326884319782257,36.3125,1.318468519619533,38.0,1.3320811476026262,36.5
7,1.3324439144134521,37.0,1.3333606549671717,35.0,1.3286026545933314,38.5
8,1.3109945106506347,38.0625,1.3263190644127982,38.5,1.33570853301457,35.0
9,1.3141106462478638,38.5625,1.300729513168335,38.5,1.314699922289167,35.5
10,1.3061464524269104,36.5625,1.3410807847976685,36.5,1.3340829951422555,39.0
