epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3786185812950134,28.8125,1.3784160103116716,34.5,1.3847396203449793,24.5
2,1.3316554951667785,36.5,1.3064120156424386,38.5,1.342773335320609,38.0
3,1.2836083698272704,40.375,1.3268095254898071,33.0,1.3778561694281442,35.0
4,1.2271349000930787,44.3125,1.3511440413338798,29.5,1.3829996415546961,35.0
5,1.1308447289466859,51.5625,1.4107054471969604,37.5,1.4269709842545646,35.0
6,1.0107247424125672,57.6875,1.4147284712110246,37.5,1.532593505723136,33.0
7,0.8730550158023834,64.4375,1.674675498689924,33.5,1.670885375567845,35.0
8,0.712316472530365,73.5,1.6154488495418005,42.5,1.7243174655096871,37.0
9,0.5559349143505097,80.75,1.6322350331715174,42.5,1.8857155527387346,38.5
10,0.4497841465473175,84.0625,1.8767065150397164,38.5,2.0855624675750732,34.0
