epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.385483100414276,30.4375,1.3765578951154436,23.5,1.388824769428798,30.0
2,1.3050856566429139,38.5,1.2551353318350655,41.0,1.3267374549593245,36.5
3,1.2573583984375,43.4375,1.2984079548290797,38.0,1.3302312748772758,40.0
4,1.1597076392173766,49.6875,1.327054466520037,40.0,1.345015219279698,42.0
5,1.0596938347816467,55.3125,1.3523911067417689,42.5,1.3292875289916992,40.0
6,0.9790617048740387,60.3125,1.3869088632719857,44.0,1.4302894217627389,38.0
7,0.8772546076774597,67.0625,1.525018845285688,42.0,1.599950177328927,38.5
8,0.7343925440311432,73.6875,1.5308761085782732,47.5,1.5845402479171753,45.5
9,0.618066908121109,77.625,1.5916553224836076,40.5,1.6879391499928065,42.5
10,0.4692189520597458,85.25,1.7169737219810486,44.5,1.7294408934456962,43.0
