epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1,1.3860728406906129,25.125,1.3856948954718453,25.0,1.3862466982432775,25.0
2,1.3819651794433594,29.4375,1.3763953787939889,30.5,1.376349925994873,29.0
3,1.3453938007354735,30.875,1.3306676319667272,34.0,1.328751197883061,34.0
4,1.3108789110183716,34.5625,1.3104519503457206,34.0,1.3214233773095267,34.0
5,1.2985101270675659,35.4375,1.3058244500841414,32.0,1.3370925869260515,39.5
6,1.2844799971580505,34.875,1.2887382677623205,40.0,1.3085293940135412,37.5
7,1.26627014875412,38.9375,1.2830972501209803,40.5,1.3251431328909737,36.5
8,1.2582235503196717,40.1875,1.2768226521355766,39.0,1.3209864412035262,40.0
9,1.2405044865608215,40.3125,1.2666584593909127,39.5,1.3071994951793127,40.0
10,1.2183245754241943,39.625,1.2492197411400932,37.0,1.3082551445279802,38.5
